ingr_id,catalogPhoto,name,relativeUrl
15213,,Фасоль в томатном соусе,/wiki/ingredienty/krupy-bobovye-muka/fasol-v-tomatnom-souse-15213
13630,,Кинза,/wiki/ingredienty/zelen-travy/svezhaya-kinza-koriandr-14025#13630
13424,https://s1.eda.ru/StaticContent/Photos/120213175134/120327153641/p_O.jpg,Петрушка,/wiki/ingredienty/zelen-travy/petrushka-13424
13596,https://s1.eda.ru/StaticContent/Photos/120328144247/120329174535/p_O.jpg,Редька,/wiki/ingredienty/ovoschi-korneplody/redka-13596
13449,https://s1.eda.ru/StaticContent/Photos/120328144247/120329173231/p_O.jpg,Морковь,/wiki/ingredienty/ovoschi-korneplody/morkov-13449
13485,https://s1.eda.ru/StaticContent/Photos/120304025019/120328132715/p_O.jpg,Сметана,/wiki/ingredienty/molochnye-produkty-yayca/smetana-13485
15311,https://s1.eda.ru/StaticContent/Photos/120328144247/120329174137/p_O.jpg,Красные помидоры черри ,/wiki/ingredienty/ovoschi-korneplody/pomidori-cherri-13518#15311
13519,https://s1.eda.ru/StaticContent/Photos/110804134510/120328144557/p_O.jpg,Сыр моцарелла,/wiki/ingredienty/syry/sir-mocarella-13519
13593,https://s1.eda.ru/StaticContent/Photos/120131083243/120521143014/p_O.jpg,Бальзамический уксус,/wiki/ingredienty/bakaleya/balzamicheskij-uksus-13593
13493,https://s1.eda.ru/StaticContent/Photos/120304025019/120328133019/p_O.jpg,Творог,/wiki/ingredienty/molochnye-produkty-yayca/tvorog-13493
13994,https://s1.eda.ru/StaticContent/Photos/110801145439/120329182949/p_O.jpg,Подсолнечное масло,/wiki/ingredienty/bakaleya/rastitelnoe-maslo-13423#13994
13467,https://s1.eda.ru/StaticContent/Photos/120328144247/120329173515/p_O.jpg,Сладкий перец,/wiki/ingredienty/ovoschi-korneplody/sladkiy-perec-13467
13662,https://s1.eda.ru/StaticContent/Photos/120131082151/120328154656/p_O.jpg,Капуста брокколи,/wiki/ingredienty/ovoschi-korneplody/kapusta-brokkoli-13662
13466,https://s1.eda.ru/StaticContent/Photos/120304025019/120328132152/p_O.jpg,Тимьян,/wiki/ingredienty/zelen-travy/timjan-13466
13615,https://s1.eda.ru/StaticContent/Photos/120131084420/120327135328/p_O.jpg,Мускатный орех,/wiki/ingredienty/orehi/muskatnyy-oreh-13615
13592,https://s1.eda.ru/StaticContent/Photos/120131083215/120521142824/p_O.jpg,Паприка,/wiki/ingredienty/specii-pripravy/paprika-13592
14235,https://s1.eda.ru/StaticContent/Photos/120131083826/121108211236/p_O.jpg,Королевские креветки,/wiki/ingredienty/ryba-moreprodukty/krevetki-13666#14235
13414,https://s1.eda.ru/StaticContent/Photos/120304025019/120328130909/p_O.jpg,Зеленый салат,/wiki/ingredienty/zelen-travy/zelenyy-salat-13414
15137,https://s1.eda.ru/StaticContent/Photos/120131082618/120329191315/p_O.jpg,Огурцы,/wiki/ingredienty/ovoschi-korneplody/ogurci-15137
13739,https://s1.eda.ru/StaticContent/Photos/120304025019/120327200235/p_O.jpg,Кунжутные семечки,/wiki/ingredienty/specii-pripravy/kunzhutnie-semechki-13739
15074,https://s1.eda.ru/StaticContent/Photos/120328144247/120328194239/p_O.jpg,Сушеный красный перец,/wiki/ingredienty/specii-pripravy/sushenyy-perec-chili-16138#15074
13450,https://s1.eda.ru/StaticContent/Photos/120126130718/120329184711/p_O.jpg,Зеленый перец,/wiki/ingredienty/ovoschi-korneplody/sladkiy-perec-13467#13450
13442,https://s1.eda.ru/StaticContent/Photos/120328144247/120329172832/p_O.jpg,Маслины,/wiki/ingredienty/ovoschi-korneplody/maslini-13442
15333,https://s1.eda.ru/StaticContent/Photos/120131111458/120327142428/p_O.jpg,Сушеный орегано,/wiki/ingredienty/zelen-travy/oregano-13577#15333
13644,https://s1.eda.ru/StaticContent/Photos/120515204458/120529124134/p_O.jpg,Сыр фета,/wiki/ingredienty/syry/sir-feta-13644
14087,https://s1.eda.ru/StaticContent/Photos/120131111725/120328174832/p_O.jpg,Нут,/wiki/ingredienty/krupy-bobovye-muka/nut-14087
13471,https://s1.eda.ru/StaticContent/Photos/120304025019/120328132405/p_O.jpg,Баклажаны,/wiki/ingredienty/ovoschi-korneplody/baklazhani-13471
13482,https://s1.eda.ru/StaticContent/Photos/120329181829/121001235421/p_O.jpg,Лимонный сок,/wiki/ingredienty/frukty-yagody/limoni-13427#13482
13984,https://s1.eda.ru/StaticContent/Photos/120304025019/120328131142/p_O.jpg,Белый винный уксус,/wiki/ingredienty/bakaleya/uksus-13422#13984
14027,https://s1.eda.ru/StaticContent/Photos/120131083741/120521145116/p_O.jpg,Семена зиры,/wiki/ingredienty/specii-pripravy/kumin-zira-14945#14027
15632,https://s1.eda.ru/StaticContent/Photos/120131083215/120521142824/p_O.jpg,Молотая паприка,/wiki/ingredienty/specii-pripravy/paprika-13592#15632
